title,genre
Baahubali 2, Action Adventure
RRR, Action Drama
Pushpa, Action Crime
Salaar, Action Thriller
Ala Vaikunthapurramuloo, Family Comedy
Hi Nanna, Romance Drama
Lucky Baskhar, Crime Drama
Kalki 2898 AD, Science Fiction Action
